t, mcp_t, pip_t, dip_t, mcp_q, pip_q, dip_q, mcp_qd, pip_qd, dip_qd, mcp_qdd, pip_qdd, dip_qdd, 
0.000000, -0.000000, -0.000000, -0.000000, 0.300000, 0.300000, 0.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
0.020000, -0.000000, -0.000000, -0.000000, 0.300000, 0.300000, 0.300000, -0.000003, -0.000003, -0.000003, -0.000150, -0.000150, -0.000150, 
0.040000, -0.000000, -0.000000, -0.000000, 0.300000, 0.300000, 0.300000, -0.000006, -0.000006, -0.000006, -0.000150, -0.000150, -0.000150, 
0.060000, -0.000000, -0.000000, -0.000000, 0.300000, 0.300000, 0.300000, -0.000009, -0.000009, -0.000009, -0.000150, -0.000150, -0.000150, 
0.080000, -0.000000, -0.000000, -0.000000, 0.300000, 0.300000, 0.300000, -0.000012, -0.000012, -0.000012, -0.000150, -0.000150, -0.000150, 
0.100000, -0.000000, -0.000000, -0.000000, 0.299999, 0.299999, 0.299999, -0.000015, -0.000015, -0.000015, -0.000150, -0.000150, -0.000150, 
0.120000, -0.000000, -0.000000, -0.000000, 0.299999, 0.299999, 0.299999, -0.000018, -0.000018, -0.000018, -0.000150, -0.000150, -0.000150, 
0.140000, -0.000000, -0.000000, -0.000000, 0.299999, 0.299999, 0.299999, -0.000021, -0.000021, -0.000021, -0.000150, -0.000150, -0.000150, 
0.160000, -0.000000, -0.000000, -0.000000, 0.299998, 0.299998, 0.299998, -0.000024, -0.000024, -0.000024, -0.000150, -0.000150, -0.000150, 
0.180000, -0.000000, -0.000000, -0.000000, 0.299998, 0.299998, 0.299998, -0.000027, -0.000027, -0.000027, -0.000150, -0.000150, -0.000150, 
0.200000, -0.000000, -0.000000, -0.000000, 0.299997, 0.299997, 0.299997, -0.000030, -0.000030, -0.000030, -0.000150, -0.000150, -0.000150, 
0.220000, -0.000000, -0.000000, -0.000000, 0.299996, 0.299996, 0.299996, -0.000033, -0.000033, -0.000033, -0.000150, -0.000150, -0.000150, 
0.240000, -0.000000, -0.000000, -0.000000, 0.299996, 0.299996, 0.299996, -0.000036, -0.000036, -0.000036, -0.000150, -0.000150, -0.000150, 
